time_s,duration,swara
0.7169160997732427,0.04353741496598562,M2
0.760453514739229,0.055147392290248454,G2
0.7749659863945577,0.5224489795918275,M2
1.2451700680272109,0.6153287981859301,P2
1.340952380952381,0.6182312925169958,D2
1.3467573696145123,0.725623582766427,P2
1.4570521541950114,0.7343310657596241,D2
1.4686621315192745,0.745941043083887,P2
1.4831746031746031,0.745941043083887,D2
1.4860770975056687,0.9694331065759465,P2
1.712471655328798,0.9752380952380779,D2
1.7211791383219954,0.9897505668934065,P2
1.73859410430839,0.9926530612244722,D2
1.7443990929705215,1.0478004535147187,P2
1.8024489795918368,1.0623129251700467,D2
1.8198639455782313,1.068117913832178,P2
1.8285714285714283,1.3467573696144752,D2
2.110113378684807,1.3496598639455408,N2
2.115918367346939,1.68634920634915,D2
2.455510204081633,1.7124716553287405,N2
2.48453514739229,2.2900680272107943,S3
3.120181405895692,0.03192743764172157,R3
3.152108843537415,0.04063492063491836,S3
3.1637188208616775,0.055147392290246344,R3
3.1811337868480725,0.06675736961450873,S3
3.1956462585034013,0.07836734693877112,R3
3.21015873015873,0.0957823129251647,S3
3.2304761904761907,0.14222222222221426,R3
3.2798185941043085,0.15963718820860784,S3
3.3001360544217686,0.208979591836723,R3
3.3523809523809525,0.21188208616778859,S3
3.358185941043084,0.22929705215418217,R3
3.378503401360544,0.24380952380951015,S3
3.395918367346938,0.24671201814057575,R3
3.4017233560090703,0.26412698412696933,S3
3.422040816326531,0.554376417233529,R3
3.715192743764173,1.1493877551019764,S3
4.313106575963719,1.1842176870747636,N2
4.3508390022675725,1.7153741496597679,D2
4.884897959183673,2.2929705215418217,P2
5.465396825396826,2.882176870748138,D2
6.05750566893424,2.9141043083898595,N2
6.092335600907028,3.4887981859408477,S3
6.765714285714286,0.005804988662131194,G3
6.771519274376417,0.35120181405893725,R3
7.119818594104308,0.35990929705213404,G3
7.131428571428572,0.3773242630385276,R3
7.151746031746032,0.3831292517006588,G3
7.1604535147392285,0.4063492063491836,R3
7.186575963718821,0.42956916099770837,G3
7.279455782312925,0.005804988662131194,G3
7.285260770975057,1.1755102040815668,M3
8.457868480725624,1.1929251700679604,G3
8.478185941043083,1.6515192743763247,M3
8.939682539682542,1.6805442176869807,G3
8.971609977324263,1.7473015873014894,M3
9.04126984126984,1.7734240362810798,G3
9.070294784580499,1.793741496598539,R3
9.093514739229024,1.851791383219851,G3
10.347392290249433,0.5195464852607419,M3
10.866938775510205,0.6298412698412346,P3
10.980136054421768,0.8620408163264823,D3
11.215238095238096,1.079727891156402,P3
11.435827664399092,1.09424036281173,D3
11.49968253968254,0.28444444444425443,D3
11.784126984126983,0.3482993197276585,N3
11.850884353741495,0.41505668934212636,D3
11.920544217687077,0.5282539682536154,N3
12.036643990929706,0.5369614512468068,D3
12.707120181405896,0.5746938775506365,R4
13.940680272108844,0.023219954648510566,N3
13.963900226757367,0.534058956915743,D3
14.477641723356008,0.5804988662127641,P3
14.526984126984125,0.6066213151923385,D3
14.556009070294785,1.134875283445954,P3
15.08716553287982,1.764716553286803,M3
15.719909297052155,1.7850340136042497,G3
15.74312925170068,2.2436281179123334,M3
16.204625850340136,2.2581405895676525,G3
16.22204081632653,2.281360544216163,M3
16.32362811791383,0.02612244897960636,G3
16.349750566893423,0.5427664399095988,R3
16.869297052154195,0.5804988662134747,S3
16.909931972789117,0.6008163265309463,R3
16.93315192743764,1.0768253968259955,S3
17.412063492063492,1.111655328798804,R3
17.449795918367347,1.6805442176880092,S3
18.021587301587303,1.7531065759646935,N2
18.09705215419501,2.2581405895704165,D2
18.60498866213152,2.2668480725636186,P2
18.616598639455784,2.269750566894686,D2
18.622403628117915,2.890884353743104,P2
20.204263038548753,0.014512471655336867,P2
20.21877551020408,0.03192743764174111,D2
20.239092970521543,0.06965986394561696,P2
20.27972789115646,0.06965986394561696,D2
20.28263038548753,0.1973696145125814,P2
20.413242630385486,0.33378684807274794,D2
20.552562358276646,0.36571428571448905,N2
20.587392290249433,0.45278911564651025,D2
20.67736961451247,0.5195464852610598,N2
20.74702947845805,0.8301133786852688,S3
21.060498866213152,0.8533333333338078,R3
21.086621315192744,0.8562358276648752,S3
21.092426303854875,0.8823582766444815,R3
21.12145124716553,0.8910657596376836,S3
21.1330612244898,1.0913378684813324,R3
21.3362358276644,1.3554648526084634,S3
21.60326530612245,1.3728798185948676,N2
21.62358276643991,1.3873922902502045,D2
21.640997732426303,1.4048072562366087,N2
21.661315192743764,1.6747392290258745,D2
21.934149659863944,1.7037641723365482,P2
21.966077097505668,1.7066666666676156,D2
21.9718820861678,1.9330612244908707,P2
22.201179138322,1.9998185941054203,D2
22.27083900226757,2.0172335600918245,N2
22.29115646258504,2.0956009070306436,D2
22.37242630385488,2.1101133786859805,N2
22.389841269841266,2.2407256235840123,D2
22.52335600907029,2.2639455782325513,N2
22.549478458049887,2.525170068028615,S3
22.87746031746032,0.0029024943310638207,R3
22.880362811791382,0.008707482993191462,G3
22.88907029478458,0.20317460317446745,R3
23.08643990929705,0.2118820861676589,G3
23.098049886621315,0.24090702947829712,R3
23.12997732426304,0.2670294784578715,G3
23.159002267573698,0.9607256235821247,M3
23.85560090702948,1.0652154195004222,G3
23.962993197278912,1.0913378684799966,M3
23.99201814058957,1.1203628117906348,G3
24.023945578231288,1.1377777777770177,R3
24.044263038548753,1.1697052154187197,G3
24.981768707482992,0.03192743764170203,P3
25.01369614512472,0.06675736961446788,D3
25.051428571428573,0.20317460317446745,P3
25.19074829931973,0.2118820861676589,D3
25.2778231292517,0.24671201814072674,D3
25.58548752834467,0.24380952380936094,S4
25.8292970521542,0.25832199546468004,N3
25.84671201814059,0.27573696145106297,S4
25.867029478458047,0.27573696145106297,N3
25.86993197278912,0.2960544217685097,S4
26.827755102040815,0.0029024943310638207,D3
26.83065759637188,0.24671201814042476,P3
27.077369614512477,0.6327437641719129,M3
27.466303854875285,0.6530612244893597,G3
27.489523809523806,0.728526077097019,M3
27.567891156462583,0.7401360544212743,G3
27.58240362811792,0.777868480725104,M3
27.623038548752834,0.777868480725104,G3
27.6259410430839,0.8272108843531889,M3
27.724625850340132,0.01451247165535463,G3
27.739138321995465,0.3018594104313763,R3
28.02938775510204,0.5282539682549086,S3
28.25868480725624,0.5572789115656178,R3
28.29061224489796,0.5834013605452562,S3
28.319637188208617,0.5834013605452562,R3
28.322539682539684,0.8330158730173558,S3
28.575056689342404,0.8562358276659232,N2
28.601179138321996,0.8678458049902069,D2
28.615691609977326,0.905578231294129,N2
28.656326530612244,1.1319727891176612,D2
28.88562358276644,1.1551927437662286,P2
28.91174603174603,1.1609977324283705,D2
28.92045351473923,1.3960997732451155,P2
29.622857142857143,0.1393197278910634,G2
29.762176870748295,0.17124716553276542,M2
29.79700680272109,0.1828571428570207,P2
29.811519274376415,0.20607709750553127,D2
29.837641723356008,0.26122448979574386,P2
29.895691609977323,0.27573696145106297,D2
29.91310657596372,0.37151927437616905,P2
30.011791383219958,0.6704761904757426,D2
30.313650793650798,0.6995011337863808,N2
30.34557823129252,0.9984580498859543,S3
30.64743764172336,1.0245804988655287,R3
